Card,Image,Title,planet_orb,planet_house,sign_1,sign_2,sign_3,suit_1,suit_2,path,sephira,element_1,element_2,info,deepinfo
Seven of Wands,seven_of_wands.jpg,Valor,Mars,Venus,Leo,,,Wands,,,Netzach,Fire,,Valour. Energy feels itself at last gasp. Struggles. Possible victory. Obstacles and difficulties yet courage to meet them. Victory in small things. Ill-dignified: Quarreling.,"Seven of Wands = Valour. Netzach in the suit of Fire. Mars in Leo. The Adept's Wands are relegated to the background; in front is a crude, uneven club; the flames are dispersed. This shows degeneration of initial Energy, and departure from equilibrium."
Prince of Cups,prince_of_cups.jpg,,,,Scorpio,Libra,,Cups,Swords,,,Water,Air,"Represents the airy part of water. A young man whose characteristics are subtlety, secret violence, craft; an artist whose calm surface masks intense passion, caring intensely for power and wisdom and ruthless in his own aims. Ill-dignified: Intensely evil and merciless man with overweening ambition.","Prince of Cups = airy part of Water, or its elasticity and volatility, and the energy of steam. In this card he is seated in a chariot, surrounded by clouds and drawn by an eagle. He carries a Lotus and a Cup from which issues a spiral serpent."
Seven of Disks,seven_of_disks.jpg,Failure,Saturn,Venus,Taurus,,,Disks,,,Netzach,Earth,,Failure. Labor abandoned. Sloth. Unprofitable speculation. Promises of success unfulfilled. Hopes deceived. Disappointment. Little gain from much labor. Well-dignified: Delay but growth. Honorable work undertaken for the love of work with no expectation of material gain.,Seven of Disks = Failure. Netzach in the suit of Earth. Saturn in Taurus. The Disks are arranged as in the geomantic figure Rubeus. This card represents enfeeblement and blight.
Eight of Wands,eight_of_wands.jpg,Swiftness,Mercury,Mercury,Sagittarius,,,Wands,,,Hod,Fire,,Swiftness. Speech. Light. Electricity. Energy of high velocity. Activity. Approach to goal. Letter or message. Rapidity. Boldness. Freedom. Ill-dignified: Too much force applied too suddenly. A flash in the pan.,"Eight of Wands = Swiftness. Hod in the suit of Fire. Mercury in Sagittarius. This card represents the Light-Wands turned into electrical rays constituting matter by their energy. Above this restored Universe is the Rainbow, representing interplay and correlation. It also shows the energy of high velocity."
Eight of Disks,eight_of_disks.jpg,Prudence,Sol,Mercury,Virgo,,,Disks,,,Hod,Earth,,"Prudence. Intelligence applied to material affairs. Agriculture. Building. Skill. Cunning. Industriousness. Ill-dignified: ""Penny wise and pound foolish"" attitudes. Avariciousness and hoarding. Meanness. Over-carefulness in small things at the expense of the great.","Eight of Disks = Prudence. Hod in the suit of Earth. Mercury in Virgo. The Disks are arranged as the geomantic figure Populus, and represent the fruit of a great tree. It signifies intelligence applied to material matters."
Four of Disks,four_of_disks.jpg,Power,Sol,Jupiter,Capricorn,,,Disks,,,Chesed,Earth,,Power. Law and order. Gain of money and influence. Earthly power but nothing beyond. Success. Rank. Dominion. Skill in the direction of physical forces. Ill-dignified: Prejudice. Covetousness. Suspicion. Lack of originality.,"Four of Disks = Power. Chesed in the suit of Earth. Sun in Capricornus. The Disks are very large and solid, and suggest a fortress. This card symbolises Law and Order, maintained by constant vigilance."
Fortune,fortune.jpg,,Jupiter,,,,,,,21.4.7,,,,"Change of fortune, generally good. Destiny.","Fortune. By the attribution of this card to the planet Jupiter, it is made to represent the Universe in its aspect of continual change. The appearance of all sorts of celestial phenomena emphasises this. In the middle is the ten-spoked wheel, the accepted symbol of Fortune. The three figures attached to the wheel symbolise the three forms of energy, expressed in the Hindu System by the term Guna. At the top sits the Sphinx, typifying intelligence and balance (Sativas); Hermanubis, in the semblance of an ape, represents the restlessness of brilliant, unstable reason (Rajas); and at the bottom, almost falling from the wheel, is the reptile-headed Typhon (Tamas), the symbol of destruction, sluggishness, and ignorance. The alchemical attributes of the Gunas are Sulphur, Mercury, and Salt."
The Hierophant,the_hierophant.jpg,,Luna,Venus,Taurus,,,,,16.2.4,,,,Divine wisdom. Inspiration. Stubborn strength. Toil. Endurance. Persistence. Teaching. Help from superiors. Patience. Organization. Peace. Goodness of heart. Occult force voluntarily invoked.,"The Hierophant. The reference in this card is to Taurus the Bull and its Indian equivalent, the Elephant. The pentagram with its dancing male child symbolises the New Aeon of the child Horus, which takes the place of the Old Aeon that has governed us for 2,000 years. The Hierophant moves only at intervals of 2,000 years. The four masks are the guardians of every mystery, culminating in the Grand Mystery of the uniting of microcosm and macrocosm. The woman before the hierophant represents Venus, now armed and militant. The Wand with its interlaced rings shows the three Aeons of Isis, Osiris and Horus."
Four of Wands,four_of_wands.jpg,Completion,Venus,Jupiter,Aries,,,Wands,,,Chesed,Fire,,Completion. Perfected work. Settlement. Completion after much labor. Rest. Subtlety. Cleverness. Conclusions from previous knowledge. Ill-dignified: Unreliability from overanxiousness and hurriedness of action.,"Four of Wands = Completion. Chesed in the suit of Fire. Venus in Aries. The Wands are headed by the Ram sacred to Aries, and, at the other end, the doves of Venus. The original Will of the Two has been transmitted through the Three, and is now built up into a solid system of order, law, and government."
Nine of Swords,nine_of_swords.jpg,Cruelty,Mars,Luna,Gemini,,,Swords,,,Yesod,Air,,"Cruelty. Agony of mind. Despair. Hopelessness. Worry. Suffering. Loss. Illness. Malice. Pain. Burden. Oppression. Subtlety and craft. Lying. Shame. Well-dignified: Obedience. Faithfulness. Patience. Unselfishness,","Nine of Swords = Cruelty. Yesod in the suit of Air. Mars in Gemini. The nine Swords are of different lengths, pointing downwards, poison blood drips from their jagged points. The background is studded with tears and crystal forms. In this card intellect is replaced by heartless passion."
Queen of Swords,queen_of_swords.jpg,,,,Libra,Virgo,,Swords,Disks,,,Air,Water,"Represents the watery part of air. A graceful woman, intensely perceptive, a keen observer, subtle interpreter, an intense individualist, confident, gracious and just. Ill-dignified: Cruel, sly, deceitful and unreliable woman. Superficial attractiveness makes her all the more dangerous.","The Queen of Swords represents the water part of Air, that is its elasticity and transmissive power. She is throned on the clouds, and her helmet carries a child's head. In one hand a sword, in the other a head of a man. She represents the clear perception of an idea, the Liberator of mind."
Knight of Wands,knight_of_wands.jpg,,,,Sagittarius,Scorpio,,Wands,Cups,,,Fire,Fire,"Represents the fiery part of fire. A man with the qualities of activity, generosity, impetuosity, pride and swiftness. Ill-dignified: Evil-minded, cruel, bigoted and brutal man.",Knight of Fire [Wands] = fiery part of Fire. This card represents a warrior in complete armour on a black horse. (Note-No description of 33).
Eight of Swords,eight_of_swords.jpg,Interference,Jupiter,Mercury,Gemini,,,Swords,,,Hod,Air,,"Interference. Waste of energy in details causing neglect of more important things. Lack of persistence. Sheer, unforeseen bad luck. Restriction. Great care in some things counterbalanced by equal disorder in others.","Eight of Swords = Interference. Hod in the suit of Air. Jupiter in Gemini. The centre of the card contains two long Swords pointing down, while six smaller ones suggesting Eastern weapons cross them, three on each side. The card suggests lack of persistence in intellectual matters and accidental interference."
Ten of Swords,ten_of_swords.jpg,Ruin,Sol,Earth,Gemini,,,Swords,,,Malkuth,Air,,"Ruin. Reason divorced from reality. Death. Failure. Disaster yet not entirely without hope. Disruption. Idle chatter. Clever, eloquent and insolent person, impertinent yet with mirth. Spiritually, may herald the end of delusion.","Ten of Swords = Ruin. Malkuth in the suit of Air. Sun in Gemini. The Swords are arranged on the Tree of Life, but the points one to five, and seven to nine, shatter the central Sword which represents the Sun, the Heart. The background is a flame with explosive destruction. This card shows reason run mad and a riot of soulless mechanism."
Knight of Disks,knight_of_disks.jpg,,,,Virgo,Leo,,Disks,Wands,,,Earth,Fire,"Represents the fiery part of earth. A farmer, patient, laborious and clever in material things, perhaps somewhat dull and preoccupied with material affairs. Ill-dignified: Avaricious, surly, petty, jealous, grasping man.","Knight of Disks = the fiery part of Earth. Mountains, earthquakes, also gravitation, and the activity of Earth as a producer of Life. He is clothed as a warrior, and his helmet is crested with a stag. He is armed with a flail, carries an exceptionally solid Disk, and is mounted on a shire horse."
The Hanged Man,the_hanged_man.jpg,,,,,,,,,23.5.8,,Water,,Redemption through sacrifice. Enforced sacrifice. Suffering. Ill-dignified: Punishment. Loss. Defeat. Failure. Death.,"The Hanged Man or Dying God. The posture of the drowned or hanged man is of the greatest significance. The legs are crossed so that the right leg forms a right angle with the left leg, and the arms are stretched out at an angle of sixty degrees, so as to form an equilateral triangle. This gives the symbol of the triangle surmounted by a cross, which represents the descent of the light into darkness in order to redeem it. The whole idea of sacrifice is a misconception of nature, and the element of water to which the card is attributed is the element of illusion."
Five of Swords,five_of_swords.jpg,Defeat,Venus,Mars,Aquarius,,,Swords,,,Geburah,Air,,"Defeat. Loss. Malice. Spite. Weakness. Slander. Failure. Anxiety. Poverty. Dishonor. Trouble. Grieving after pain. Ties. Separator of friends. A busybody, cruel yet cowardly, evil speaking.","Five of Swords = Defeat. Geburah in the suit of Air. Venus in Aquarius. The hilts of the swords form an inverted pentagram and are diverse, the blades broken and crooked, typifying intellect enfeebled by sentiment."
The Moon,the_moon.jpg,,Venus,Jupiter,Pisces,,,,,29.7.10,,,,Illusion. Deception. Bewilderment. Hysteria. Madness. Dreaminess. Falsehood. Voluntary change. The brink of an important change. This card is very sensitive to dignity.,"The Moon. This card represents the state of impure horror, hidden darkness which must be passed through before light can be reborn. The Moon is, therefore, the most universal of the planets, partaking at once of the highest and the lowest. At the bottom of the card moves the Sacred Beetle, bearing the Sun through the darkness of night. Above is the evil landscape of the Moon. A stream, or path of Serum, tinged with blood, flows between two barren mountains. On the hills are dark sinister towers. On the threshold stands the jackal-headed god, Anubis, in double form; at his feet are the jackals waiting to devour those who have fallen by the way."
Ace of Cups,ace_of_cups.jpg,,,,,,,Cups,,,Kether,Water,,The Root of the Powers of Water. Fertility. Productiveness. Beauty. Pleasure and happiness.,Ace of Cups = the element of Water in its secret and original form. It is the feminine compliment of the Ace of Wands. This is a primordial card in the essential form of the Holy Grail.
Four of Cups,four_of_cups.jpg,Luxury,Luna,Jupiter,Cancer,,,Cups,,,Chesed,Water,,Luxury. Weakness. Abandonment to desire. Pleasure mixed with anxiety. Blended success and pleasure possibly approaching their end. Injustice. The seeds of decay in the fruits of pleasure.,"Four of Cups = Luxury. Chesed in the suit of Water. Moon in Cancer. The four Cups stand upon the sea, no longer stable but ruffled. The Lotus has a multiple stem. The Energy of the element, although ordered, has lost the original purity of the conception."
The Emperor,the_emperor.jpg,,Sol,Mars,Aries,,,,,28.7.9,,,,War. Conquest. Victory. Strife. Stability. Power. Originality. Government. Energy. Ambition. Ill-dignified: Overweening pride. Megalomania. Rashness. Ill-temper.,"The Emperor. This card means Government by means of two contrasting symbols. These are the Ram, which, when wild, is solitary and courageous, and the Lamb, which is docile and cowardly, and is, in fact, the Ram tamed by authority. The posture typifies the Alchemical Sulphur, the fiery element of the universe. The Red Eagle represents the Red Tincture of the Alchemists, which is of the nature of gold."
Seven of Cups,seven_of_cups.jpg,Debauch,Venus,Venus,Scorpio,,,Cups,,,Netzach,Water,,Debauch. Delusion. Illusory success. Drug addiction. Intoxication. Guilt. Lying. Deceit. Promises unfulfilled. Lust. Fornication. Dissipation in love and friendship. Vanity.,"Seven of Cups = Debauch. Netzach in the suit of Water. Venus in Scorpio. The Lotuses have become poisonous; green slime issues from them. They are arranged in two descending triangles, with a lower cup much larger than the rest. This shows external splendour and internal corruption."
Two of Cups,two_of_cups.jpg,Love,Venus,,Cancer,,,Cups,,,Chokmah,Water,,Love. Harmony of male and female interpreted in broadest sense. Perfect and placid harmony radiating intense joy and ecstacy. Pleasure. Warm friendship. Mirth. Ill-dignified: Folly. Dissipation. Waste.,"Two of Cups = Love. Chokmah in the suit of Water. Venus in Cancer. The card represents two cups overflowing on a calm sea. These are filled from a Lotus, floating on the sea, twined with two dolphins, showing the harmony of the male and female interpreted in the highest and broadest sense."
Princess of Swords,princess_of_swords.jpg,,,,Aquarius,Capricorn,Pisces,Swords,,,,Air,Earth,"Represents the earthy part of air. A young woman, stern and revengeful, with destructive logic, firm and aggressive, with great practical wisdom and subtlety, dexterous in management of practical affairs. Ill-dignified: Woman filled with low cunning and frivolousness.","The Princess of Swords = the earthy part of Air; the fixation of the volatile, or the materialisation of the Idea. She appears in this card in front of a barren altar, and has a helmet of Medusa on her head."
Two of Swords,two_of_swords.jpg,Peace,Luna,,Libra,,,Swords,,,Chokmah,Air,,"Peace. Contradictory characteristics in the same nature. Sacrifice and trouble giving birth to strength. Quarrel made up and peace restored, yet tension remaining. Pleasure after pain. Truth and untruth. Indecision. Actions sometimes selfish, sometimes unselfish.","Two of Swords = Peace. Chokmah in the suit of Air. Moon in Libra. In this card are two crossed swords united by a blue rose with five petals, which emits white rays producing a geometrical pattern which suggests energy beyond the onslaught of the disruption of the intellect."
Four of Swords,four_of_swords.jpg,Truce,Jupiter,Jupiter,Libra,,,Swords,,,Chesed,Air,,Truce. Rest from sorrow. Peace after war. Relaxation of anxiety. Refuge from mental chaos. Recovery from sickness. Change for the better after struggle. Authority in the intellectual world. Convention. Establishment of dogma.,Four of Swords = Truce. Chesed in the suit of Air. Jupiter in Libra. The four swords in this card are at the corner of a St. Andrew's Cross. Their points are sheathed in a rose of forty-nine petals. This represents the establishment of dogma and convention in the realm of intellect.
The Fool,the_fool.jpg,,,,,,,,,11.1.2,,Air,,"In spiritual matters, represents ideas, thoughts, spirituality, that which endeavors to transcend earth. In material matters may show, if ill-dignified, folly, eccentricity, even mania. It represents the original, subtle, sudden impulse coming from a strange and unexpected quarter.","The Fool is Air or Vacuum or Puissant Innocence. He holds the male element of fire, the female element of water, the sword of air, and the disc of earth. He is the Green Man of Spring, the great Fool of the Celts, Daluah and Parsifal. He is also Zeus Arrhenothelus, Dionysus Zagreus, Bacchus Diphues and Baphomet."
Ace of Disks,ace_of_disks.jpg,,,,,,,Disks,,,Kether,Earth,,"The Root of the Powers of Earth. Material gain. Power. Labor. Wealth. Contentment. Materiality in all senses. For Crowley, this card was an affirmation of the identity of sun and earth, spirit and flesh.","The Ace of Disks represents the last of the feminine symbols; it is the twin sister of Air, and its bride. It is not only Earth, but matter as such. Per contra, the Disk is the whirling symbol of Space. The Disk is winged to indicate its spiritual origin."
The Aeon,the_aeon.jpg,,,,,,,,,31.8.10,,Fire,,Final decision concerning the past. New current for the future. Always represents the taking of a definite step.,"The Aeon, or the Angel, or the Last Judgment. The card is girt about with the body of Nuit, the star goddess, representing unlimited possibility. She surrounds the globe of fire, her mate, Hadit, standing for eternal energy. In the middle sits their child, Horus, also a solar deity, who is the incarnation of the New Aeon. The left hand, extended and empty, reminds us that the God has destroyed the old Universe, but is, as yet, too young to form its successor. At the bottom of the card appears the Hebrew letter, Shin, that is attributed to this card. The three Yods are occupied by three human figures arising to partake of the Essence of the New Aeon."
Ace of Wands,ace_of_wands.jpg,,,,,,,Wands,,,Kether,Fire,,The Root of the Powers of Fire. Energy. Strength. Force. Solar-phallic outburst of flame. Vigor. Natural force as opposed to invoked force.,"Ace of Wands represents the essence of the elements of fire in its inception. The flames are Yods, arranged in the form of the Tree of Life. It is primordial Energy manifesting in Matter."
The Universe,the_universe.jpg,,Saturn,,,,,,,32.9.10,,Earth,,The essence of the question itself. Synthesis. The end of the matter. Delay. Opposition. Inertia. Perseverance. Patience. The crystallization of the whole matter involved.,"The Universe. This card is attributed to the letter Tau. Together with the first card, the Fool, the word Ath is spelled, meaning Essence. Thus all reality is comprised in the series of which these two cards are the beginning and the end. The letter Tau symbolises a fourfold extension, applicable to the transcendence of space and time by a continually self-compensating change. The letter is further attributed to Saturn, the slowest of the planets, and on that account associated with the element of Earth. Saturn is the old god, the god of fertility. The presence of the letter Tau upon the Tree of Life indicates a state of equilibrium between change and stability. The glyph on the card, therefore, symbolises the completion of the Great Work. The image of the Universe is a maiden, the final letter of Tetragrammaton. She is represented as dancing with the Great spiral-forming Serpent or Sun. About her is an ellipse composed of seventy-two circles for the quinaries of the Zodiac. At the corners of the card are the four Kerubim, showing the established Universe. In the centre is the Wheel of Life, initiating the form of the Tree of Life, which is visible only to those of pure heart. On the lower part of the card is the late J. W. N. Sullivan's well-known map of the chemical elements."
Prince of Disks,prince_of_disks.jpg,,,,Taurus,Aries,,Disks,Wands,,,Earth,Air,"Represents the airy part of earth. A young man bringing great energy to practical matters. A capable manager and steadfast worker, competent, perhaps considered dull, somewhat resentful of spiritual types, slow to anger but implacable if aroused.",Prince of Disks = airy part of Earth or the florescence and fructification of that element. He is seated in a chariot drawn by a bull. His helmet is crowned by a bull; and he holds a Disk resembling a globe and marked with mathematical symbols. In his other hand he carries a sceptre surmounted by a cross. The card symbolises the function of bringing forth from the Earth the vegetation which is the substance of the Spirit itself.
Prince of Wands,prince_of_wands.jpg,,,,Leo,Cancer,,Wands,Cups,,,Fire,Air,"Represents the airy part of fire. A young man, swift and strong, impulsive, violent, just, noble and generous with a sense of humor. Ill-dignified: Proud, intolerant, cruel and prejudiced youth who may be a coward.","Prince of Wands = airy part of Fire, with its faculty of expanding and volatilising. He is seated in a Chariot of Flame and holds the Phoenix Wand of Power and Energy."
Princess of Cups,princess_of_cups.jpg,,,,Scorpio,Libra,Sagittarius,Cups,,,,Water,Earth,"Represents the earthy part of water. A young woman, infinitely gracious, all sweetness, voluptuousness, gentleness, kindness, romantic and dreamy. Ill-dignified: Indolent, selfish and luxurious woman.","Princess of Cups = earthy part of Water, or its faculty of crystallisation, also its power to give substance to idea, to support Life, and to form a basis of chemical combination. She is represented as a dancing figure, and has a crest of a swan with open wings. She carries a Cup with a tortoise. The dolphin symbolises the power of creation."
Five of Disks,five_of_disks.jpg,Worry,Mercury,Mars,Taurus,,,Disks,,,Geburah,Earth,,Worry. Intense strain with continued inaction. Loss of money. Profession. Monetary anxiety. Poverty. Well-dignified: Labor. Land cultivation. Building. Intelligence applied to labor.,"Five of Disks = Worry. Geburah in the suit of Earth. Mercury in Taurus. This represents the five Disks in an inverted pentagram. The general effect is one of strain, yet the symbol is long-continued inaction. Its natural meaning is intelligence applied to labour."
Queen of Disks,queen_of_disks.jpg,,,,Capricorn,Sagittarius,,Disks,Wands,,,Earth,Water,"Represents the watery part of earth. A woman ambitious in useful directions, affectionate and kind, charming, timid, practical, quiet and domesticated. Ill-dignified: Dull. Servile. Foolish. Capricious. Prone to debauch and moodiness.","Queen of Disks = watery part of Earth or fertility. She is throned amid vegetation and crowned with the spiral horns of the Markhor. Her sceptre is surmounted by a cube, and she holds her proper Disk-a sphere of circles and loops. She typifies ambition of matter to take part in the work of creation."
Five of Wands,five_of_wands.jpg,Strife,Saturn,Mars,Leo,,,Wands,,,Geburah,Fire,,Strife. Quarreling. Fighting. Competition. Cruelty. Violence. Lust and desire. May be prodigality or generosity according to dignity.,"Five of Wands = Strife. Geburah in the suit of Fire. Saturn and Leo. These Wands are of the Chief Adept or Caduceus, second Adept, or Phoenix, third Adept, or Lotus. Five double flames show balanced energy. This is purely active force."
Queen of Wands,queen_of_wands.jpg,,,,Aries,Pisces,,Wands,Cups,,,Fire,Water,"Represents the watery part of fire. A woman of adaptability, persistent energy, calm authority, with great power to attract, generous but impatient of opposition. Ill-dignified: A woman who is stupid, obstinate, revengeful, domineering, quick to take offense without good cause.","Queen of Wands = watery part of Fire, its fluidity and colour. The card shows a Queen with a crown of the winged globe. She is seated on a throne of flame, ordered into geometrical light by her material power. She carries a Wand topped with a fir cone, suggestive of the mysteries of Bacchus."
Knight of Cups,knight_of_cups.jpg,,,,Pisces,Aquarius,,Cups,Swords,,,Water,Fire,"Represents the fiery part of water. A man who is a graceful dilettante, amiable in a passive way, quick to respond to attraction and easily enthusiastic, exceedingly sensitive but with little depth of character. Ill-dignified: Sensual and idle man, untruthful, prone to melancholy and drug abuse.","Knight of Cups = fiery part of Water, or water's power of solution. The card represents him as a warrior in black armour, with white wings, on a white horse. In his hand he carries the Cup from which issues a Crab, sign of water in aggression. The peacock symbolises the brilliance of water."
Ten of Cups,ten_of_cups.jpg,Satiety,Mars,Earth,Pisces,,,Cups,,,Malkuth,Water,,Satiety. Pursuit of pleasure crowned with perfect success but incomplete. Matters arranged and settled as wished. Lasting success. Peacemaking and generosity. Ill-dignified: Dissipation. Debauchery. Pity. Waste. Stagnation.,"Ten of Cups = Satiety. Malkuth in the suit of Water. Mars in Pisces. The Cups are arranged as in the Tree of Life, but they are unstable and spill the water from the great Lotus that hangs over them. This typifies the disruptive and violent force which, inevitably, attacks every supposed perfection."
The Empress,the_empress.jpg,,Venus,,,,,,,14.2.3,,,,Love. Beauty. Happiness. Pleasure. Success. Fruitfulness. Good fortune. Graciousness. Elegance. Gentleness. Ill-dignified: Dissipation. Debauchery. Idleness. Sensuality.,"The Empress. She is seated in traditional posture. This posture represents salt, the inactive principle of nature. The lotus typifies the feminine or passive power. The Bees on the robe may be compared with the Fleur de Lys, suggesting the French origin of the symbol; the belt is the Zodiac. The Pelican may be identified with the Great Mother and her offspring. It represents the continuity of life and inheritance of blood uniting all forms of nature. The White Eagle typifies Alchemical Salt, and the White Tincture, of the nature of silver."
Prince of Swords,prince_of_swords.jpg,,,,Aquarius,Capricorn,,Swords,Disks,,,Air,Air,"Represents the airy part of air. A young man, purely intellectual, full of ideas and designs, domineering, intensely clever but unstable of purpose, with an elusive and elastic mind supporting various and contradictory opinions. He slays as fast as he creates. Ill-dignified: Harsh, malicious, plotting, unreliable man; a fanatic.",The Prince of Swords = the airy part of Air. This card typifies the Intellect. The Prince is seated in a chariot drawn by child-like fays.
Princess of Wands,princess_of_wands.jpg,,,,Leo,Cancer,Virgo,Wands,,,,Fire,Earth,"Represents the earthy part of fire. A young woman, individualistic, brilliant and daring with great energy, sudden and violent in love or anger, enthusiastic. Ill-dignified: Superficial, theatrical, shallow, false, cruel, unreliable, faithless, domineering woman.","Princess of Wands = the earthy part of Fire, or the irresistible chemical attraction of the combustible substance. She has the plumes of Justice streaming from her brow, and holds a Wand crowned by the Sun."
Ten of Wands,ten_of_wands.jpg,Oppression,Saturn,Earth,Sagittarius,,,Wands,,,Malkuth,Fire,,Oppression. Force detached from spiritual sources. Fire in its most destructive aspect. Cruelty and malice. Selfishness. Lying. Repression. Slander. Ill will. Can be self-sacrifice and generosity if particularly well-dignified.,"Ten of Wands = Oppression. Malkuth in the suit of Fire. The Wands are crossed, showing the powers of completed energies of Fire, but they have lost their patents of nobility. In front are two dorjes lengthened to bars. This card shows the Force detached from its spiritual sources."
Six of Cups,six_of_cups.jpg,Pleasure,Sol,Sol,Scorpio,,,Cups,,,Tiphareth,Water,,Pleasure. Well-being. Harmony of natural forces without effort or strain. Ease. Satisfaction. Happiness. Success. Fulfillment of sexual will. Beginning of steady increase (but beginning only). Ill-dignified: Vanity. Presumptuousness. Thanklessness.,Six of Cups = Pleasure. Tiphareth in the suit of Water. Sun in Scorpio. The Lotus stems are grouped in an elaborate movement. Water gushes into them; they are full but not overflowing. This shows the influence of the Sun on Water. His fierce but balanced power operates on a type of putrefaction which is the basis of fertility.
